review,label
"Q kira besar ,ternyata miniğŸ¤­ğŸ¤­ tapi cocok sic dg hrgany , EMang cm 3rb aj 
sic, tapi parfumnya wangi kok",1
"Koyok ngengek, yg dikirim minyak 1 mili iklan nya 100mli sunggu tidak amanaah pnipuan yg luar biasaa",0
"Saya kira awalnya minyak wangi Fress beneran, setelah di serahan ke jasa kirim saya baca betul2 ternyata cuma tester",1
"Baik, harum sekali, testyr kurang besar, murah relatif, kualitas bagus",2
Produk sesuai dengan pesanan pengiriman tepat waktu kemasan bagus dan mantab gan ğŸ‘,2
Ngakak sekali nggak tau kalau ternyata cuma tester mana pengiriman lamaa sekaliiii kecewa polll isinya dikit produk kecil susah pula bukanya,0
"Ralat saya kira parfum botolan ternyata cuma tester, ternyata baca diskripsi itu perlu",0
Mksih kak paketnya udah sampai pengiriman juga cepat barang sesuai dengan pesanan semoga sukses sellu buat tokonya,2
Akibat tidak baca dulu tak kira besar 100ml ternyata 2ml saja,0
Alhamdulillah barang aku sampai dengan baik terima kasih seller dan shopee semoga tetap amanah next time mau order lagi,2
yang di pesen parfume yang datang apa pengirimannya juga lama 2 minggu ngawor,0
 Tidak sesuai deskripsi,0
kemasan mini bau harum harga sangat terjangkau kualitas bintang 5,2
Tidak sesuai dengan pesanan,0
Ku pikir parfum ternyata sampel,1
"Yaudah lah mau berharap apa sama parfum 10 ribuan kalo disini tinggal nambah dikit dapet botol yang besar lah ini gak amanah banget tokonya kecil banget jangan beli di toko ini,semoga gak laku gak sesuai digambar juga foto produknya",0
berukuran kecil dan mudah dibawa,2
tekstur cair,2
memiliki aroma yang harum dan menyenangkan,2
"Harum banget, meskipun kemasan kecil tapi wanginya memuaskan, wangi tahan lama, enak untuk di bawa bepergian",2
"Ini apa-apaan datang parfum nya sekecil ini ditambah nggak ada harum sama sekali  beda sama yang digambar mentang"" harganya murah jadi nggak sesuai apaan ini maksudnya Gua nunggu"" nya udah lama datang kayak gini baru ini gua nyesel sama produk yang nggak jelas",0
Ternyata kecil parfumnya.. Gak sesuai ekspektasi,0
Aku pikir dapet yang besar parfumnya ternya kecil banget kayak tester,1
Gambarnya besar yang datang mini mending cari yg harga normal saja kawan,0
Di luar ekspektasi ini mah gak nyangka semungil ini datengnya lebih cepet dari estimasi,0
"Sangat mengecewakan tidak sesuai angan2, kok bisa2nya pihak shopee ngizinin toko yang kayak gini iya",0
Minyak wangi mini nya udah yampe pengiriman cepat banget hrg murah sekali di pake nya sekali doang soalnya minyak wanginya mini sekali,2
Ku kira yg bsr trnyata kecil mngkn ak yg slh tdk melihat Ket nya,1
Paket nya mungil banget cuma 2ml maklum sih harga segitu,2
Kecewa deh sama barangnya saya kira yang dateng parfum fres kok yg dateng bibitnya,0
Oke sesuai dengan apa yg di pesan dan aman pengemasan top pokonya dapat voucher juga makasih,2
bagus sesuai harapan.pengiriman cepat.packing aman.terimakasih,2
"Harum banget parfumnya , bisa tahan seharian di aku , wort it lah buat harga yang terjangkau.. pokonya the best suh , favorite banget wanginya",2
penjual tidak amanah sama sekali.,0
klo gk niat jualan gak usah jualan kak.,0
pesen nya apa dikirim apa,0
mending di tutup aja ya kak tokonya drpd bnyk yg kecewa. kasihan loh yg beli kena prank.,0
BRG dah smpe dg aman dan utuh TDK bocor.. tp gimana buka nya ya...??,1
Makasih banyak ea KA pesnanq dah yampek,1
alhamdulillah paket saya sdh dtg td....... paketnya diantar aman dan cepat.......mksh iya kak,1
Paket parhum nya sudah di terima dengan keadaan baik  dengan ukuran sangat kecil aroma wangi yg menyegarkan pengiriman cepat  selebihnya biar bintang yang bicara,2
trimksh wangi kecil gak ribet bawannyaa,2
Sampai dengan selamat alhamdulilah..,1
"Terima kasih sudah d kirim, ğŸ¤ªğŸ¤¦ salah saya nggak baca diskripsi dulu asal beli",1
Kurang teliti dalam membaca jadi ğŸ˜” mungkin lain kali harus baca makanya murah cuma testernya aja,1
"Tak pikir yg dtang besar, ternyata kecil, tp wangi",2
"terkira yang besar, agak rugi 15k 2ml dpt 3",0
makasih seller,1
Barang nya sudah sampai ternyata kecil bngt kirain bakal sesuai di gambar TPI emng sesuai sama harganya oke lah,1
"Kirain botol gede gak taunya seuprit kecewa banget gk lagi""deh beli lagi disini",0
"Paket tiba dgn baik, tp tokonya kurang amanah, d video parfum fress yg dateng minyak bibit yg ukurannya kecill sekali. Kecewa,, tlg yg amanah tokonya..",0
"Brangnya smp dengan aman, trima kasih kak",1
Bagus wanginya juga enak aman paketnya pake bubble gitu jadi oke pengiriman cepet juga n kurir ramah makasih y,2
Brg sdh dtg dg slmat..mturnuwwuun,1
Mengecewakan barang tidak sesuai sama yg di fto harga 3ribu kecil banget,0
Kira in fres &natural beneran seperti iklan awal ternyata berubah  setelah PO 30 hari (ternyata cuma sample nya aja) kadong tak borong e,0
Beer ukuran kecil mudah di bawa wangi tHan lama   menyegarkan tekstur cair memuaskan,2
Sesuai harga sihğŸ‘ kecil mungil,2
Salah di aku .. gk baca deskripsi Tp GK kecewa tau wangi enak bget,1
Kecewa gak memuaskan GK sesuai gambar sungguh kecewa,0
Sudah di terima,1
Wangi saya suka,2
ga sesuay poto,0
Kecil kecil nget....,0
Bagus sekali,2
"Alhamdulillah Dateng juga pesananku,parfum yg wangi kecil bisa di BW kemn2.",1
"Kemasan praktis dan ekonomis, Packing rapi,  pengiriman cepat, di kirim sesuai pesanan.",2
G cocok t kirain besar,0
Mantappp,2
wangÃ¬ii,2
"Tidak jelas sama sekali pesan yg 100ml kenapa di kirim tester 2ml saja!!! Tidak sesuai dan tidak memuaskan pembeli, lain kali kalau mau jualan yg amanah, yg di pesan sama yg dikirim disesuaikan!!!",0
Kok Sy tdk lihat foto nya wktu sblm pesen kl dpt parfum fresh nya itu trnyta botol mini bngt tp tdk mslh mungkin ini bibit parfum fresh maka nya kecil botol le.,0
"Parfum Harum dan Sy sangat suka dngn wangi nya yg awet dan kalem. Pesenan paket dtng lbh cepat dr estimasi perkiraan tgl sblm Aq pesen Parfum ini. Kecil botol nya tp wangi parfum sangat menyegarkan dan tahan lama. Kemasan sangat rapi hingga meski botol mudah pecah,tdk ada yg pecah sm skli,brng yg Sy terima dlm keadaan baik & utuh. Terima Kasih Penjual/Toko yg amanah,bnr2 bisa di percaya kualitas brng yg di jual.",2
wah agak kecewa ternyata cuma sampel kirain 100ml botol fresh kurang teliti saya bacanya,0
"Pengiriman lama sekali pesen tgl 5 tgl 16 baru datang, ukuran nya kecil banget.",0
"Pantesan aja murah ,ukurannya tester",1
Barang tidak sesuai dengan yang di gambar,0
"Bagus banget barang sesuai, kurir juga ramah",2
Sesuai pesananğŸ‘ğŸ‘,2
Paket sesuai Pesanan....,2
Keren cara marketingnya yang beli karena tertipu gak nyimak jelas tapi saya tetap beri bintang lima,1
Botol nya kecil bisa di bawa tidak mengecewakan,1
Ok,1
mntp,1
Kurang merhatiin krain q minyak wangi trnyata cuma sample....,1
Kirain Pas Sampai Paketnya KosongğŸ˜­ Ternyata Isinya Kecil Bngt Kirain Yg Gede Ternyata TesterğŸ—¿,0
Paket sudah datang tidak sesuai pesenan kecewa bangat,0
kecewa ...sekecil inj,0
Cocok untuk langganan,2
Sesuai pesanan,2
"Saya belum nyoba, tapi pas saya raba raba, bau nya wangiii bangetttttt, tapi ukurannya kecil, kirain saya harga 4.000 , dapet nya yang besar soal nya saya co nya pas lagi gratis ongkir",1
"nimah bukan g sesuai lg jualannya tp penipu!!! Gambarnya parfume fresh yg 100ml tp yg datang parfum fresh yg 1 ml jd isinya cm 1 tetes doangğŸ¤£ada aja ni org cari duit. Q ralat yah....eh ternyata beneran niatnya nipu,waktu saya pesan gambarnya fresh 100ml,eh skrg dah hampir 2 BLN ditambahin ada keterangan dan gambar klo barang nya sample 2ml karna kan skrg dah banyak yg pesen dan banyak yg dikirim",0
"agak kecewa, ternyata bibit parfum tapi ok lumayan baunya.",1
Suka baunya harum pengiriman cepat. Next order lagi kurix baik dan ramah,2
Sangggaaattt kecill.. Maka nya harus simak deskripsi itu sngt penting dkira dpat parfume yg botolan kayak contoh. Eh trnyata hanya tester. Mau dbilikin bukan salah saya. Itu hanya tester judul nya.,1
"ternyt mungil sekaliiiii,, wangi,, trmksh",1
"Ini ditipu apa gimana ya, kok dapetnya malah ginian ğŸ˜­ğŸ¥²",1
"Aku kira yg kmasan besar eh ternyata yg dtang kemasan kecil ,bisa isi ulang",1
Dikira yg fresnya GK taunya yg kecilnya.pantesan murah.ğŸ¤¦,1
Kirain yg besar ternyata yg kecil,1
Pikir yg fresh besar eh mls kecill GK sesuai dengan ekspektasi,0
Alhamdulillah paket aku udah sampai....pengirimannya lumayan cepat...barang sama seperti di video...pengemasannya rapih,2
Mksh kk brngy sdh smp smga tmbh amanah ğŸ¤²ğŸ¤²,2
"aku pesen dari 8.8 tanggal 30 baru nyampe, mana tiba tiba berubah jadi sempel 2ml padahal pas 8.8 yang 100ml kocak banget penjualnya sampe deskripsi sama poto prodaknya di ganti, jujur kecewa banget sih dan ini kayak nipu pembeli ğŸ™„ğŸ™„",0
"tidak sesuai, sangat kecewa.",0
untuk sampel beli 4 dapat harga segitu wortit polğŸ‘ğŸ¼,2
Kirain Sebotol gede tryta kecil mungil,1
Kecewa... Yg dateng satu doang... Kirain 5...mending beli yg lain,0
"baunya harum, sy suka",2
Wangi,2
Kirain yang Dateng besar ternyata barangnya kecil imuttt,1
"Di luar ekspektasi, iklan parfum 100 ml, yg datang 2 ml",1
"Udah terlanjur beli nyesel sih karena cuma botol semungil ini, karna pas checkout kurang teliti di iklannya yang dipajang botol ukuran 100 ml.. buat pembeli yang lain harap diteliti dulu sebelum membeli supaya tidak seperti saya",0
Paket sampai dengan baik pengemasan rapi  serta kurir yang ramah dan baik,2
Ukurannya kecil bgt ...waktu Nerima barang nya bikin ketawağŸ˜„ğŸ˜„ğŸ˜„,0
kyk bukan farfum pliss jlk banget kyk ji suntik datang,0
Wangi,2
Aku kira pakai botol besar Utamakan membaca sblum cek out,0
"Gara2 ga baca skrip nyampe kelar ,,kirain Fress yg 100 ml trnyata cuma sample ğŸ˜,,,",0
"Gk sesuai gmbar, kecewa berat,jualan kog nipu kasian pembeli sama2 cari uangx susah, klau jual yg amanah dong, sblm beli d lev vidio besar stlh d krm botol kecil,gk amanah sekali smga qw yg terahir beli d sini",0
Wkwkwkw sampel 2 ml ternyata,1
sangat kecewa tak kira parfum kayak aslinya.tibae cuman sample nya aja,0
berukuran kecil mudah dibawa,2
konsistensi yang baik,2
wangi dan menyegarkan,2
bagus,2
Y ampun kirain sy bnran tu mnyk wangi y yg biasa sy beli g tau y cm sample...sy GX baca lg...,0
ukuran kecil,0
sangat tdk puas saya kira botol fres yg dtng kecil,0
pas,1
"Baru pertama kali ikutan War harga murah, dengan harga 3000 malah dapetnya parfum semini inii. Kenapa hal ini harus berbohong sii. Klo emang gak mau rugi gak usa di kasi harga murah",0
Barang sudah sampai dan sesuai dengan pesanan terima kasih,2
pas,1
"Paket sesuai pesanan,, isi 2 mili ,, toko amanah,, kurir ramah,, terimakasih",2
Barang sesuai pesanan dan mudah dibawa memiliki aroma yang sangat harum dan menyenangkan selain itu harga nya juga sangat terjangkau,2
Katanya parfum fresh natural botol 100 Mili malah yang datang kecil segitu..mana PO lama banget gak amanah menurut aq,0
Barangnya nyampek ternyata yg nyampek cuman tester simungil,0
Bagus sekali terima kasih,2
Sesuai harapan,1
Barang sudah sampai dan sesuai dengan pesanan terimakasih,2
tidak cocok dengan gambarnya jangan beli di sini nyesel aku,0
Tidak amah jangn ada Yaang mau bli LG di sni..pembohong..semoga toko nya CPT tutup.pesen minyak wangi yg gde dtng nya yg kecil Kya upil..,0
harum,2
"Akhirnya dtang....kecil ternyata ğŸ˜..kirain besar,,,tp wangi kx... sesuai harga 4000 dpt 2... terimakasih",1
Hadech ketipu aku kirain farpum nya gede tau nya sak util gkgkgkgk pengen ketawa lucu DECH udh PO sebulan tau nya sak uncrit huhuhu,0
barang tidak sesuai mohon tanggapannya nyah,0
Ini jual produk palsu  penipuan d iklan ,0
"Ga fokus dapet sempelnya doang,kukira sebotol fress",0
Cair kecil kuecil mungil  sekali aku salah klik cek out lho aku,1
Kirain saya 1000ml ternyata 20ml,1
"Po nya lama kaya pesen parfum premium padahal yg dtg se upil ğŸ˜ƒğŸ˜ƒğŸ˜ƒ, ku fikir krn diskon ternyata emang versi sachet ya salaaaammm",0
baik,1
ni bibitnya tk kirain udk kayak biasanya pki botol. Makanya harge murah ğŸ¤­ğŸ¤£ğŸ¤£ lama pengirimannya mau 1 bln sdh tk batalin karna saking lamanya e... kok msh d kirim jg,1
Aku kira minyak wangi fresh yg besar ternyata pas datang ukurannya sangat kecil banget,0
Kecill lucuu ih tapi tutup nya kurang estetik tapi it's oyak gampang di bawa ke mana mana ga makan tempat,1
wangi nya enak cuman ukurannya doang terlalu mini,1
ukurannya mini aku kira yg 100 ml eh malah tester 2 ml,0
Barang sesuai,1
sangat wangi dan enak,2
berukuran kecil dan mudah di bawa,2
Alhamdulillah paket sudah sampai dengan aman dan lama,1
kecil trimkasih brang sdah sampai,1
wangi,2
kecil mudah dibawa,2
mudah diaplikasikan,2
lumayan wangi harga murah kirain fres yg ukuran besar 100 ml trnyata kecil banget sejari kelingking,1
kecil,0
lumayan wangi,2
maaf kirain ukuran yg brsar. kecewa saya tau nga sih,0
Aroma enak tpi kecil banget,1
"sangat sangat wangi d pakai seminggu nggk hilang aroma wanginya,mw oerder lagi ug buanyak",2
kecil dan mudah di bawa,2
berukuran kecil dan mudah dibawa,2
"beda yang saya pesa, beda lagi yang sampai, kecewa bangat",0
Pengiriman paket cepat,2
Bentuk parfum mini bisa d simpan d saku celana tas baju,2
Gak nyoba males banget.,0
Kemahalan. Q kira dapet yg besar Ter nyata kecil banget,0
Tak kira ukuran nya besar .kaya parfum pada umum nya,0
Ternyata cuma tester nya ajh.. astaga,0
Alhamdulillah terimakasih Kaka barangnya sudah sampai. Next order lagi yaaa thankyou..,1
"Gak baca deksripsi dulu kaget pas dtng ko yg begini kirain yg di gambar, tpi kecilÂ² cabe rawit wangi meskipun sample nya juga, mksh",1
Tk kira besar ukuran 100 ml ternyata 2 ml. Akibat beli GC baca deskripsi dulu,0
Barang nya udah datang tapi kecil kecil tak kirain botobesar,1
Sesuaikan dengan yg di gambar dan iklannya..Biar orang gk kecewağŸ«¢,0
berukuran kecil mudah dibawa,2
lembut dan mudah diaplikasikan pada kulit,2
memiliki wangi yang menyenangkan,2
kecil bangt,0
sangat wangi sih,2
"Salah liat , main co aja , yg dtg kecil sekali",0
ngga baca kalo itu cuma samplel plisğŸ˜­ğŸ˜­ aku kira itu besar jadinya aku beli dua tapi gapapa ini kesalahan ku,1
dak sesuaiiiiii bukan minyak wangi yg di kerem kecewaaaaa niannnn,0
Nggak tahan lama,0
sangat kecil,0
cairan sprti air,1
biasa sesuai harga,1
berukuran kecil dan mudah di bawa,2
cair dan tidak lengket,2
memiliki aroma yang wangi dan menyegarkan,2
Katanya po 30 hari.tapi baru berapa hari udah di kirim.udh lama ngirim ya.,1
berukuran kecil dan mudah di bawa,2
tekstur bagus,2
memiliki aroma yang harum,2
kecil sekali sesui hargağŸ˜‚,1
cair,0
wangi,2
Bagus dan cocok barang nya dan harganya juga lumayan bagus dan saya sangat menyukainya dengan barang nya dan dan saya sangat puas dengan barang nya,2
Kirain satu botol ternyata kecil cuma berapa mili kecil banget,0
Jangan salah baca ini sample (kecil banget),0
kecil banget,0
makasih paket sudah sampai dengan aman,1
Tidak sesuai pesananğŸ¤¦â€â™€ï¸ğŸ¤¦â€â™€ï¸ğŸ¤¦â€â™€ï¸saya menyesal sudah pesen di toko ini ğŸ¤¦â€â™€ï¸ğŸ¤¦â€â™€ï¸ğŸ¤¦â€â™€ï¸,0
Memiliki wangi yang menyegarkan,2
Tekstur cair,2
Berukuran kecil dan mudah dibawa,1
ukuran lebih kecil tidak sesuai ekspektasi,0
membosankan udah PO pula,1
Tidak sesuai deskripsi,0
wangi yang menyenangkan,2
berukuran kecil,0
Parfum mini di kira botol sedang,1
Pengiriman cepet,2
Untuk aroma enak si tpi gak sesuai yang saya harap kanğŸ˜¥ğŸ˜¥ğŸ˜¥ğŸ˜¥,1
Bagus semangat untuk bekerja keras,1
Pesen 2 yang datang cuman 1 aja,0
"Minyak wanginya sudah sampai kak, sukses selalu seller and shopee.. Makasih ya ğŸ™ğŸ¼",1
Salah persepsi saya kira 1 botol parfum ternyata kecil banget,1
Paket sampai ternyata tidak sesuai barang sangat kecil tidak sesuai harapan kenapa yang perlihatkan besar ternyata datangnya kecil,0
Kirain yg fres gede taunya yg kecil yg dateng,0
Barang tidak sesuai,1
Kecewa ku kira besar ternyata kecil,0
Sesuai pesenan,1
Kirain gede ternyata cm tester,1
Knpa datang nya mini bagettttt ..kecewa mana lama baget tdk sesuai ekspektasi pokonyah,0
Kemasan mungil sekali kirain sebesar botol fres gak sesuai gambar,0
Makasih barangnya sudah datang dengan kondisi baik ğŸ‘ğŸ‘,1
Wangi dan harumnya awet dan tahan lama,2
bahan lembut empuk tidak bikin sakit,1
Makasih,1
Barang nya baru nyoba pas di buka lucu,1
"Makasih kak, paket sampai",1
Promonya parfum satu botol gt eh ternyata cuma tester ah ya udahlah untung harganya murah ğŸ˜,1
Terima kasih buat shopee. Buat tokonya sangat kecewa tidak sesuai pesanan. Semoga bisa amanah ya.,0
Astagfirullah tidak sesuai pesenan tidak sesuai gambar baru kali ini saya belanja di shopee ketipuğŸ¤¦ğŸ˜­,0
Pengiriman ok kurir juga ramah,1
saya kecewa yang datang cuma botol kecil gak sesuai,0
"ku kira besar ternyata kecil amat, berasa ketipu dehhğŸ˜­lain kali di deskripsi di jelaskan cuma stempel, terlanjur beli baru di jelaskanğŸ˜ pengiriman juga lama 1 bulan baru nyampe",0
sangat kecewa.,0
"Paket baru tiba hampir mau setengah bulan,",1
sangat tidak memuaskan sama sekali dan tidak sesuai dengan yg saya pesan,0
Ternyata sak uprit ya,0
Bagus,2
Bagus,2
bagus,2
botol bukan fresh yg sesuai iklan,0
"Saya kira besar pke botol, ternyata kecil,",1
"Barang nya bagus dan sesuai,cocok di pakai tiap hari aromanya jg wangi banget.",2
Barang nya sudah sampai tapi tidak sesuai dengan gambar saat saya memesan nya.,0
Kirain botol besar ternyata kecil,0
"Tidak sesuai deskripsi, kemarin sale nya 100ml ehh yangg datengg tester nya wkwkk tapi tidak apa biar rasa penasaran kebayar ğŸ™",1
Kukira besar ternyata kecil,0
"Kirain mah gede, taunya seitil",2
Maap aku yg gagal paham kiraen parfum nya. Ternyata sempelnya,1
"Pesanan udah lama datangnya , maaf baru beri penilaian",1
Gak baca tulisan kirain parfum yang fres gede ternyata cumn sample nya doang makanya murah banget ğŸ˜­ huhu tpi ga nyesel kok soalnya wangi banget,1
Aku kira besar seperti digambar ternyata sangat sangat lah kecil sekali...,0
Baru mencobanya.. Semoga cocok dan bisa beli lg,1
Bagus,2
ga asli parfum nya ternyata bukan parfum,1
Bagus,2
"Di gmbar btol besar , GX taunya yg Dateng minii,  kepincut promo discount ternyata GX. Sesuai yg d pikirkn  , y dhlah GX lagi up, kurir ok baik",0
toko ny ga jelassss,0
ukuran sangat mini,1
wangi,2
Toko tdk amanah katanya minyak wangi dress ternyata dikrm sprt itu... Jangan percaya,0
Kecewa kecil banget harga nyah mahal GK sesuai di poto,0
"Barang palsu, Tidak sesuai deskripsi",0
"Di kira parfum nya yng uk sedang separti di gambar ,.. ech ternyata uk kecil banget di luar dugaan..",0
"Walaupun kecil banget, tapi ini wangi kok heheğŸ™‚â˜º",1
Kecil banget produknya kak,0
Mantapp baunya,2
kecil,0
Kecewa,0
"Buat seller pliiiss kasih keterangan sejelas mungkin diproduknya,kukira lagi promo fresh & natural parfum seharga 3rb perak 100mL, E ternyata cuman sebotol mini,berasa dikasih sampel berbayar gak sihğŸ˜‚",0
Saya suka,2
Mas kurir baik,1
"Makasih mas kurir, sophie n tokonya",1
Success semuanya ya,1
Alhamdulillah.. pesanan sudah datang,1
"parfum tahan lama wangi banget cocok buat harian, dan ramah dikantong",2
"Q kira ukuran besar,trnyata se mungil ituğŸ˜",1
Mf kk kl jual yg amanah dong..nunggu lma2 dtangnya gk sesuai..kecewa bgt,0
Tak kirain yang besar saya ikut PO kecewa datangnya yang kecil tapi harum banget sihh,1
Pengiriman sangat lamaa,0
"Mantap wangi,,,",2
wangi tp kemasan terlalu kecil,0
kecil bgt,0
terlalu kecil,0
wangi segar yang tahan lama,2
udah bela2in beli bnyak..nggunya lama..yg datang cm 1tetes doang di pakking,0
Sy kira besar kayak di iklan yg di tampilkan ternyata sak uprit,0
kecil,0
harum,2
Harum than lama,2
Aromanya enk tp g sesuai dgn yg ada digambar,1
Ini toko penipuan pesen apa di kirim ap,0
"bagus kmasan ya tapi kecil ,poko ya top wanggi nya mantap",1
mini sekali karena biang nya wangi ok lah ğŸ‘,1
saya kira besar. eh ps datang kecil,1
Ga jelas ga sesuai,0
kecil bgt nunggu berhari hari dateng kecil bgt,0
nggk sesuai ekspetasi yng dividio botol besar tapi yng datang botol kecil banget,0
Tidak sesuai deskripsi,0
Wangi bener,0
sangat kecil tidak sesuai dengan apa yg saya pesan,0
aromany wangi,2
ukuran lebih kecil dari yg di promosikan d vidio,0
Tidak sesuai deskripsi,0
Hoax inima Dateng nya kecil bangett,0
Nyesel banget ku kira besar kyk yg di toko trnyata kecil bnget,0
Paket sdh diterima saya kira ukuran 100 ml ternyata tester nggak baca deskripsi nya ğŸ¤¦â€â™€ï¸,0
Terima kasih kk meski kecil tp wangi kok parfumnya ğŸ‘ğŸ™,1
Barang datang tidak sesuai dg apa yg di promosikan d vidio,0
Munurut sy tidak sesuai ekspektasi bgt,0
G sesuaiiii,0
"Ternyata cuma taster ihhh piye to, aq g baca lgi, mana mahal"" lagi aq beli tapi gapapa lha, Sesekali rugi, kirain yg botolan 2 gitu, ternyata tidak",1
"sumpahh ini penipuan njirrrr, masa yg dateng minyak wangi yg kecil banget 5ml ada kali tu",0
Terlalu banyak alkohol nya,1
Dikemasnya lama pelayanan ny jelek orang nya gak asik kasar banget kalo kurirnya ramah banget,1
Kurang sip,0
Minyak wangi sangat kecil...dan campuranya ngak ada ...jadi sia sia dehh,0
Harum... Saya kira botolnya besar ternyata kecil banget,1
Lebih baik,2
"Barang nya kecil,,tpi wangi bngt",1
Kecil imut wangi bnget biangnya,2
tidak sesuai ekspektasi  pedagangnya tidak amanah,0
Salah pesen barang,1
Tak kirain botol besar g tau botol kecil.....tapi itu salah q yg g lihat kalau itu cuman Sampel,1
Lumayan kecewa si yg datang barang ta sesuai,0
"Astaga niat banget nipu nya, semoga berkah itu uangnya",1
harum tp terlalu kecil,1
Makasih seller barang sesuai,2
"Kira'in parfum fres kemasan botol besar ,trnyata cumak samplenya aja ,mungkin aku nya aja yg kurang teliti bacanya",1
"Barang sudah sampai,,cuma GK sesuai dengan gambar,dgambar fres yang datang tanpa merk kecil pula.",0
Baca dulu ulasan sebelum membeli ternyata itu bener y kirain di kirim 2 botol 100 mil ternyata botolnya seuprit,1
sangat kecil,0
tidak sesuai pesanan digambar besar yang datang sangat kecil,0
Ternyata dikit banget yaa,0
Tidak sesuai tak kira fres besar dapatnya kecil,0
harum tpi gak tahan lama,1
Ini kami sudah nipu kalau gak ada barangnya gak usah di kirim aja mas kasian orang yang kamu nipu,0
Tidak sesuaii memang hrga murah tapi kan aku dapat vocer kenapa yg datng kayak ini,0
mini,1
q kira ukurannya botol parfum yg kayak di video ternyata mini banget kecewa sih tp GK apa2 yg penting wangi...,1
"Sesuai, amanah",2
kukira besar ternyata mini bangettt ğŸ¥² tpi aromanya wangi kokk,1
"HahahhhğŸ˜‚sudah ku duga barang yg dateng pasti beda, dan yaaa terbukti dehğŸ¤£",0
"pengiriman ny lm bgt anjir pesen tgl 25 agustus, datang tanggal 7 sepetember",0
Gambar hanya sebagai pemanis sumpah mending ga usa beli yg di kirim 2ml gila,0
"Tidak sesuai ekspektasi, barang yang datang sangat sangat kecil",0
Di iklan besar yng datang kecil gimana sih,0
